Position,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Eastern Suburbs,South Sydney,Newtown,Glebe,Eastern Suburbs,Eastern Suburbs,South Sydney,Balmain,Balmain,Balmain,South Sydney,Balmain,Balmain,North Sydney,Glebe,Eastern Suburbs,Balmain,South Sydney,South Sydney,South Sydney,Eastern Suburbs,South Sydney,Western Suburbs,Eastern Suburbs,South Sydney,Newtown,Western Suburbs,Eastern Suburbs,Eastern Suburbs,Eastern Suburbs,Canterbury,Balmain,Eastern Suburbs,Balmain,Canterbury,Newtown,Newtown,Eastern Suburbs,St George,Canterbury,Western Suburbs,South Sydney,South Sydney,South Sydney,Western Suburbs,South Sydney,Newtown,Newtown,St George,St George,St George,St George,St George,St George,St George,St George,St George,St George,St George,St George,South Sydney,South Sydney,South Sydney,Manly Warringah,Manly Warringah,Manly Warringah,Eastern Suburbs,Eastern Suburbs,Manly Warringah,Parramatta,Western Suburbs,St George,Canterbury,Eastern Suburbs,Parramatta,Manly Warringah,Canterbury,St George,Parramatta,Manly Warringah,Cronulla,South Sydney,Canberra,Penrith,Brisbane,Canterbury,Canterbury,Manly Warringah,Manly Warringah,Manly Warringah,Brisbane,Sharks,Brisbane,Parramatta,Warriors,Penrith,Sydney,Parramatta,Melbourne,Melbourne,Melbourne,St George Illawarra,St George Illawarra,Melbourne,Canterbury,Sydney,Sydney,Sydney
2,South Sydney,Balmain,South Sydney,Eastern Suburbs,Glebe,Newtown,Newtown,Glebe,South Sydney,South Sydney,Western Suburbs,Eastern Suburbs,Glebe,Eastern Suburbs,North Sydney,South Sydney,South Sydney,Western Suburbs,Eastern Suburbs,St George,St George,St George,Eastern Suburbs,South Sydney,Western Suburbs,Eastern Suburbs,Eastern Suburbs,South Sydney,Balmain,St George,South Sydney,Canterbury,Newtown,Canterbury,Balmain,Balmain,Balmain,Newtown,Newtown,Balmain,Balmain,Western Suburbs,Balmain,Manly Warringah,St George,St George,South Sydney,St George,Balmain,Manly Warringah,Western Suburbs,Western Suburbs,Western Suburbs,Western Suburbs,Newtown,Western Suburbs,Parramatta,North Sydney,Balmain,South Sydney,Manly Warringah,Balmain,Manly Warringah,South Sydney,Eastern Suburbs,Cronulla,Manly Warringah,Manly Warringah,Parramatta,St George,Cronulla,Parramatta,Eastern Suburbs,Newtown,Manly Warringah,Canterbury,Parramatta,Balmain,South Sydney,Eastern Suburbs,Canterbury,Penrith,Brisbane,Manly Warringah,St George,St George,North Sydney,Canberra,Brisbane,Newcastle,Newcastle,Parramatta,Sydney,Bulldogs,Newcastle,Sydney,Bulldogs,St George Illawarra,Bulldogs,Manly Warringah,Manly Warringah,Bulldogs,Penrith,Manly Warringah,Melbourne,South Sydney,Manly Warringah,Brisbane
3,Glebe,Eastern Suburbs,Eastern Suburbs,South Sydney,Newtown,South Sydney,Balmain,Newtown,Glebe,Newtown,Glebe,Glebe,South Sydney,Glebe,Eastern Suburbs,Balmain,Glebe,Balmain,Glebe,Eastern Suburbs,South Sydney,Western Suburbs,South Sydney,Western Suburbs,Eastern Suburbs,South Sydney,St George,Western Suburbs,Canterbury,South Sydney,Balmain,St George,Canterbury,Eastern Suburbs,St George,North Sydney,St George,Western Suburbs,Balmain,Newtown,Newtown,St George,Newtown,St George,South Sydney,Eastern Suburbs,St George,Manly Warringah,South Sydney,South Sydney,Manly Warringah,Manly Warringah,Eastern Suburbs,Balmain,Western Suburbs,Balmain,Balmain,Parramatta,Manly Warringah,Canterbury,Eastern Suburbs,Manly Warringah,St George,St George,St George,St George,Canterbury,St George,St George,Eastern Suburbs,Manly Warringah,Cronulla,St George,Parramatta,North Sydney,Parramatta,St George,Canterbury,Canterbury,Canberra,Canberra,Balmain,Penrith,North Sydney,Illawarra,Canberra,Canberra,Brisbane,North Sydney,Parramatta,Melbourne,Melbourne,Newcastle,Newcastle,Brisbane,Bulldogs,Brisbane,Brisbane,Brisbane,North Queensland,Cronulla,Gold Coast Titans,Wests Tigers,Brisbane,South Sydney,Melbourne,South Sydney,North Queensland
4,North Sydney,Newcastle,Balmain,Newtown,South Sydney,Glebe,Eastern Suburbs,South Sydney,Eastern Suburbs,Western Suburbs,Balmain,Western Suburbs,Western Suburbs,Balmain,South Sydney,Western Suburbs,St George,North Sydney,University,Western Suburbs,North Sydney,Newtown,St George,St George,Balmain,St George,South Sydney,North Sydney,North Sydney,Balmain,Eastern Suburbs,South Sydney,St George,St George,Eastern Suburbs,St George,South Sydney,Balmain,Canterbury,Western Suburbs,St George,Balmain,Western Suburbs,Western Suburbs,North Sydney,North Sydney,North Sydney,South Sydney,Western Suburbs,Western Suburbs,Balmain,Newtown,Canterbury,Manly Warringah,Parramatta,Parramatta,North Sydney,South Sydney,Newtown,Eastern Suburbs,St George,St George,Canterbury,Parramatta,South Sydney,Newtown,South Sydney,Canterbury,Canterbury,Balmain,Canterbury,Western Suburbs,Western Suburbs,Cronulla,Eastern Suburbs,Balmain,Manly Warringah,Parramatta,Manly Warringah,Balmain,Manly Warringah,Canberra,Manly Warringah,Canberra,Newcastle,Manly Warringah,Manly Warringah,Cronulla,Sydney City,North Sydney,Parramatta,Sydney City,Canberra,Sharks,Sydney,Canberra,Penrith,Wests Tigers,Newcastle,Warriors,Sydney,Melbourne,Gold Coast Titans,Wests Tigers,Manly Warringah,Manly Warringah,Penrith,Melbourne
5,Newcastle,Glebe,Glebe,Annandale,Balmain,North Sydney,Glebe,Eastern Suburbs,North Sydney,Eastern Suburbs,Eastern Suburbs,Newtown,Eastern Suburbs,South Sydney,Balmain,North Sydney,Western Suburbs,St George,Western Suburbs,Newtown,University,North Sydney,Newtown,North Sydney,Newtown,Balmain,Newtown,Balmain,Newtown,Canterbury,North Sydney,Eastern Suburbs,Balmain,Newtown,South Sydney,South Sydney,North Sydney,North Sydney,Eastern Suburbs,St George,Canterbury,Parramatta,St George,Eastern Suburbs,Manly Warringah,Canterbury,Manly Warringah,North Sydney,Newtown,North Sydney,Newtown,North Sydney,Balmain,Eastern Suburbs,Eastern Suburbs,North Sydney,South Sydney,Balmain,Western Suburbs,Balmain,Balmain,Parramatta,Eastern Suburbs,Balmain,Canterbury,Canterbury,Western Suburbs,Parramatta,Eastern Suburbs,Manly Warringah,Parramatta,Canterbury,South Sydney,Manly Warringah,Western Suburbs,St George,South Sydney,Penrith,Balmain,South Sydney,Balmain,Cronulla,Balmain,Western Suburbs,Western Suburbs,Brisbane,Brisbane,Newcastle,Cronulla,Sydney City,North Sydney,Canterbury,Penrith,Brisbane,Sharks,Melbourne,St George Illawarra,North Queensland,Manly Warringah,Parramatta,Brisbane,Manly Warringah,Warriors,St George Illawarra,North Queensland,Cronulla,North Queensland,Canterbury
6,Balmain,Newtown,Annandale,North Sydney,North Sydney,Balmain,North Sydney,Annandale,Newtown,Glebe,North Sydney,South Sydney,Newtown,Newtown,Western Suburbs,Glebe,Eastern Suburbs,Glebe,Newtown,North Sydney,Glebe,Balmain,Balmain,Balmain,St George,North Sydney,North Sydney,Newtown,Western Suburbs,Newtown,Newtown,North Sydney,South Sydney,Western Suburbs,North Sydney,Eastern Suburbs,Western Suburbs,Canterbury,North Sydney,North Sydney,Eastern Suburbs,Newtown,Canterbury,Parramatta,Balmain,Newtown,Balmain,Balmain,Manly Warringah,Balmain,North Sydney,South Sydney,Manly Warringah,North Sydney,Canterbury,Manly Warringah,Newtown,Newtown,Parramatta,Manly Warringah,Parramatta,Western Suburbs,Balmain,Canterbury,Newtown,Eastern Suburbs,North Sydney,Balmain,Balmain,Cronulla,Eastern Suburbs,Balmain,Manly Warringah,Western Suburbs,South Sydney,Eastern Suburbs,Canberra,Manly Warringah,North Sydney,Canterbury,Penrith,Brisbane,Newcastle,Canterbury,Eastern Suburbs,North Sydney,Illawarra,Sydney Bulldogs,Canberra,Illawarra,Sydney City,St George Illawarra,Melbourne,Sydney,Parramatta,Warriors,Melbourne,Melbourne,St George Illawarra,Bulldogs,Canberra,Brisbane,Sydney,Warriors,Canberra,Canterbury,Melbourne,Cronulla
7,Newtown,North Sydney,North Sydney,Western Suburbs,Annandale,Annandale,Western Suburbs,North Sydney,Annandale,Annandale,Newtown,Annandale,North Sydney,St George,Newtown,Newtown,North Sydney,University,North Sydney,Balmain,Western Suburbs,Eastern Suburbs,North Sydney,Newtown,North Sydney,University,Balmain,St George,South Sydney,North Sydney,Western Suburbs,Western Suburbs,North Sydney,South Sydney,Newtown,Canterbury,Eastern Suburbs,St George,Western Suburbs,South Sydney,South Sydney,Canterbury,Eastern Suburbs,Canterbury,Eastern Suburbs,Parramatta,Western Suburbs,Eastern Suburbs,Canterbury,Eastern Suburbs,Eastern Suburbs,Balmain,North Sydney,South Sydney,Manly Warringah,Newtown,Western Suburbs,Manly Warringah,South Sydney,Western Suburbs,Western Suburbs,North Sydney,Cronulla,Cronulla,Western Suburbs,South Sydney,Newtown,Western Suburbs,Western Suburbs,Canterbury,South Sydney,Manly Warringah,Parramatta,North Sydney,Newtown,North Sydney,Penrith,Eastern Suburbs,St George,Parramatta,Brisbane,Canterbury,Canterbury,Brisbane,Canterbury,Illawarra,Cronulla,St George,St George,Gold Coast,Canberra,Newcastle,Parramatta,St George Illawarra,St George Illawarra,Newcastle,North Queensland,Cronulla,Canberra,South Sydney,St George Illawarra,Newcastle,Canberra,North Queensland,Cronulla,Newcastle,Canterbury,South Sydney
8,Cumberland,Western Suburbs,Western Suburbs,Balmain,Western Suburbs,Western Suburbs,Annandale,Western Suburbs,Western Suburbs,North Sydney,Annandale,North Sydney,University,Western Suburbs,University,St George,Newtown,Eastern Suburbs,Balmain,Glebe,Balmain,Glebe,University,University,University,Western Suburbs,University,Canterbury,St George,Western Suburbs,St George,Newtown,Western Suburbs,North Sydney,Western Suburbs,Western Suburbs,Canterbury,South Sydney,South Sydney,Eastern Suburbs,Parramatta,Manly Warringah,Manly Warringah,Balmain,Newtown,Balmain,Canterbury,Parramatta,Eastern Suburbs,Newtown,South Sydney,Eastern Suburbs,Newtown,Canterbury,Balmain,Canterbury,Manly Warringah,Western Suburbs,Canterbury,North Sydney,Penrith,Canterbury,Newtown,Penrith,Cronulla,North Sydney,St George,Cronulla,Cronulla,North Sydney,St George,Eastern Suburbs,Newtown,St George,Canterbury,South Sydney,Balmain,Cronulla,Penrith,Cronulla,South Sydney,Newcastle,Parramatta,Illawarra,Manly Warringah,Eastern Suburbs,Penrith,North Sydney,Western Suburbs,Balmain,St George,Brisbane,Sharks,New Zealand,Canberra,Brisbane,Canberra,Manly Warringah,Parramatta,Brisbane,Warriors,Parramatta,Manly Warringah,Newcastle,Brisbane,North Queensland,Brisbane,St George Illawarra
9,Western Suburbs,,,,,,,,,,,,Annandale,University,St George,University,University,Newtown,St George,University,Newtown,University,,,,,,University,University,University,,,,,,,,,,Manly Warringah,Manly Warringah,North Sydney,Parramatta,Newtown,Canterbury,Manly Warringah,Eastern Suburbs,Canterbury,North Sydney,Canterbury,Canterbury,Canterbury,South Sydney,Newtown,North Sydney,South Sydney,Eastern Suburbs,Canterbury,North Sydney,Newtown,Canterbury,Eastern Suburbs,North Sydney,Eastern Suburbs,North Sydney,Balmain,Cronulla,North Sydney,Penrith,Western Suburbs,Balmain,South Sydney,Cronulla,South Sydney,Cronulla,Cronulla,Illawarra,South Sydney,Eastern Suburbs,North Sydney,North Sydney,Parramatta,Illawarra,St George,Penrith,Newcastle,South Sydney,Sydney City,Newcastle,Western Suburbs,Canterbury,Canberra,St George Illawarra,Melbourne,Northern Eagles,Parramatta,Wests Tigers,Sydney,North Queensland,Wests Tigers,Newcastle,Wests Tigers,South Sydney,Canterbury,St George Illawarra,Gold Coast Titans,Warriors,Manly Warringah
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parramatta,North Sydney,Eastern Suburbs,North Sydney,North Sydney,Parramatta,Western Suburbs,Parramatta,Western Suburbs,Parramatta,Parramatta,Parramatta,Parramatta,Parramatta,Parramatta,South Sydney,Eastern Suburbs,Canterbury,Eastern Suburbs,Eastern Suburbs,Parramatta,Cronulla,Newtown,Penrith,Newtown,Balmain,Western Suburbs,Penrith,Newtown,South Sydney,Penrith,Penrith,Penrith,Balmain,Canterbury,St George,Canberra,Cronulla,Canberra,Cronulla,St George,St George,St George,Cronulla,Cronulla,Balmain,Cronulla,Newcastle,Auckland,Canterbury,St George,Manly Warringah,Penrith,Wests Tigers,Northern Eagles,Melbourne,St George Illawarra,Newcastle,Penrith,Warriors,Sydney,Wests Tigers,South Sydney,Brisbane,South Sydney,Wests Tigers,Penrith,Parramatta,Canberra
